"icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","geo_altitude","on_ground","velocity","true_track","vertical_rate","sensors","baro_altitude","squawk","spi","position_source","category",""
"                  StateVector(dict_values(['4d227c'"," 'RYR29JY '"," 'Malta'","1745866507","1745866507","8.3584","47.3418","11277.6"," False","224.86","125.69","0"," None","11445.24"," '7566'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4d227e'"," 'RYR69ME '"," 'Malta'","1745866507","1745866507","-3.0143","53.058","11277.6"," False","234.04","131.26","-0.65"," None","11521.44"," '5263'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a09ac5'"," 'N138VA  '"," 'United States'","1745866507","1745866507","-75.1767","40.4087","838.2"," False","33.75","307.57","0.65"," None","914.4"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['80139f'"," 'AXB1145 '"," 'India'","1745866507","1745866507","77.0878","28.3908","1737.36"," False","146.25","220.86","13"," None","1775.46"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['c008d3'"," 'CFDIW   '"," 'Canada'","1745866507","1745866507","-80.0228","43.4837","2369.82"," False","77.12","315","0"," None","2453.64"," '0060'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4d227a'"," 'RYR55LA '"," 'Malta'","1745866506","1745866507","18.1055","50.8203","6316.98"," False","208.78","107.05","-12.35"," None","6530.34"," '5215'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4d226f'"," 'RYR57TR '"," 'Malta'","1745866506","1745866507","2.624","40.7599","6957.06"," False","202.38","165.58","-8.45"," None","7178.04"," '2221'"," False","0"," 0]))",""
"                  StateVector(dict_values(['ac948a'"," 'N91CF   '"," 'United States'","1745866507","1745866507","-107.4555","34.879","12504.42"," False","270.9","72.43","0"," None","12725.4"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a97516'"," 'N7083Q  '"," 'United States'","1745866501","1745866501","-98.7116","29.7143","701.04"," False","55.49","349.32","1.3"," None","723.9"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a5a5ba'"," 'N463L   '"," 'United States'","1745866507","1745866507","-110.5944","38.1241","7010.4"," False","118.03","62.76","-0.33"," None","7040.88"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['4d2259'"," 'RYR1733 '"," 'Malta'","1745866507","1745866507","1.2623","46.8866","10972.8"," False","218.63","13.06","0"," None","11155.68"," '1053'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a86861'"," 'N64056  '"," 'United States'","1745866489","1745866489","-112.2926","33.5336"," None"," True","3.86","28.12"," None"," None"," None"," '4060'"," False","0"," 0]))",""
"                  StateVector(dict_values(['406c3b'"," 'VIR19Z  '"," 'United Kingdom'","1745866507","1745866507","-112.1574","48.2802","11582.4"," False","253.19","212.3","-0.33"," None","11628.12"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['4d2255'"," 'RYR330F '"," 'Malta'","1745866507","1745866507","0.3025","52.0514","1752.6"," False","144.14","38.92","-5.2"," None","1950.72"," '7442'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4d2256'"," 'RYR9MM  '"," 'Malta'","1745866480","1745866480","4.2068","39.8046","304.8"," False","76.12","9.33","-4.23"," None","426.72"," '6363'"," False","0"," 0]))",""
"                  StateVector(dict_values(['3986ec'"," 'AFR1714 '"," 'France'","1745866507","1745866507","2.1572","44.4713","5326.38"," False","192.85","226.3","-7.8"," None","5509.26"," '1000'"," False","0"," 1]))",""
"                  StateVector(dict_values(['a84200'"," ''"," 'United States'","1745866377","1745866377","-66.1757","18.67","3246.12"," False","152.35","311.44","7.8"," None","2895.6"," '2170'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4d2258'"," 'RYR87VC '"," 'Malta'","1745866506","1745866507","8.7584","51.6123","11582.4"," False","223.45","249.94","0"," None","11750.04"," '1000'"," False","0"," 0]))",""
"                  StateVector(dict_values(['3986ed'"," 'AFR95JK '"," 'France'","1745866506","1745866506","2.4024","46.2124","9753.6"," False","238.24","271.24","-0.33"," None","9966.96"," '1000'"," False","0"," 1]))",""
"                  StateVector(dict_values(['a72e69'"," 'ASA15   '"," 'United States'","1745866507","1745866507","-115.8035","32.8057","6697.98"," False","207.46","260.72","-13.66"," None","6804.66"," '2152'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4d224c'"," 'RYR50NH '"," 'Malta'","1745866507","1745866507","18.4083","47.5551","6065.52"," False","201.24","288.02","11.7"," None","6263.64"," '4252'"," False","0"," 0]))",""
